Optimal - objective value -369.24000000
    130 squad[1411,1]                             1                       0
    131 squad[1411,2]                             1                       0
    132 squad[1411,3]                             1                       0
    133 squad[1411,4]                             1                       0
    134 squad[1411,5]                             1                       0
    135 squad[1411,6]                             1                       0
    136 squad[1411,7]                             1                   -4.97
    137 squad[1411,8]                             1                       0
    138 squad[1411,9]                             1                       0
    139 squad[1411,10]                            1                   -3.99
    140 squad[1411,11]                            1                       0
    141 squad[1411,12]                            1                       0
    142 squad[1411,13]                            1                       0
    143 squad[1411,14]                            1                       0
    144 squad[1411,15]                            1                       0
    145 squad[1411,16]                            1                       0
    146 squad[1411,17]                            1                   -4.02
    147 squad[1411,18]                            1                       0
    148 squad[1411,19]                            1                       0
    149 squad[1411,20]                            1                       0
    150 squad[1411,21]                            1                       0
    151 squad[1411,22]                            1                       0
    152 squad[1411,23]                            1                       0
    153 squad[1411,24]                            1                       0
    154 squad[1411,25]                            1                       0
    155 squad[1411,26]                            1                      -4
    156 squad[1411,27]                            1                       0
    157 squad[1411,28]                            1                   -4.17
    158 squad[1411,29]                            1                       0
    159 squad[1411,30]                            1                       0
    160 squad[1411,31]                            1                       0
    161 squad[1411,32]                            1                       0
    162 squad[1411,33]                            1                       0
    163 squad[1411,34]                            1                       0
    164 squad[1411,35]                            1                   -3.82
    165 squad[1411,36]                            1                       0
    166 squad[1411,37]                            1                       0
    167 squad[1411,38]                            1                       0
    168 squad[1411,39]                            1                   -4.56
    169 squad[1411,40]                            1                       0
    170 squad[1411,41]                            1                       0
    171 squad[1411,42]                            1                       0
   1893 squad[21,1]                               1                       0
   1894 squad[21,2]                               1                   -6.01
   1895 squad[21,3]                               1                       0
   1896 squad[21,4]                               1                       0
   1897 squad[21,5]                               1                       0
   1898 squad[21,6]                               1                       0
   1905 squad[21,13]                              1                       0
   1906 squad[21,14]                              1                    -4.9
   1907 squad[21,15]                              1                       0
   1908 squad[21,16]                              1                       0
   1909 squad[21,17]                              1                   -6.12
   1910 squad[21,18]                              1                       0
   1911 squad[21,19]                              1                       0
   1912 squad[21,20]                              1                       0
   1913 squad[21,21]                              1                       0
   1914 squad[21,22]                              1                       0
   1915 squad[21,23]                              1                       0
   1916 squad[21,24]                              1                       0
   1917 squad[21,25]                              1                       0
   1918 squad[21,26]                              1                   -5.61
   1919 squad[21,27]                              1                       0
   1920 squad[21,28]                              1                       0
   1921 squad[21,29]                              1                   -5.04
   1922 squad[21,30]                              1                       0
   1923 squad[21,31]                              1                       0
   1924 squad[21,32]                              1                       0
   1925 squad[21,33]                              1                       0
   1926 squad[21,34]                              1                       0
   1927 squad[21,35]                              1                       0
   1928 squad[21,36]                              1                   -5.27
   1929 squad[21,37]                              1                       0
   1930 squad[21,38]                              1                       0
   1931 squad[21,39]                              1                   -4.89
   1932 squad[21,40]                              1                       0
   1933 squad[21,41]                              1                       0
   1934 squad[21,42]                              1                       0
   2098 squad[76,34]                              1                       0
   2099 squad[76,35]                              1                       0
   2100 squad[76,36]                              1                       0
   2101 squad[76,37]                              1                   -4.15
   2102 squad[76,38]                              1                       0
   2103 squad[76,39]                              1                   -4.51
   2104 squad[76,40]                              1                       0
   2105 squad[76,41]                              1                       0
   2106 squad[76,42]                              1                       0
   2925 squad[70,1]                               1                       0
   2926 squad[70,2]                               1                       0
   2927 squad[70,3]                               1                   -5.14
   2928 squad[70,4]                               1                       0
   2929 squad[70,5]                               1                       0
   2930 squad[70,6]                               1                       0
   2931 squad[70,7]                               1                       0
   2932 squad[70,8]                               1                       0
   2933 squad[70,9]                               1                   -4.86
   2934 squad[70,10]                              1                       0
   2935 squad[70,11]                              1                       0
   2936 squad[70,12]                              1                       0
   2937 squad[70,13]                              1                       0
   2938 squad[70,14]                              1                       0
   2939 squad[70,15]                              1                       0
   2940 squad[70,16]                              1                       0
   2941 squad[70,17]                              1                       0
   2942 squad[70,18]                              1                   -4.94
   2943 squad[70,19]                              1                       0
   2944 squad[70,20]                              1                       0
   2945 squad[70,21]                              1                       0
   2946 squad[70,22]                              1                       0
   2947 squad[70,23]                              1                       0
   2948 squad[70,24]                              1                   -4.11
   2949 squad[70,25]                              1                       0
   2950 squad[70,26]                              1                       0
   2951 squad[70,27]                              1                       0
   2952 squad[70,28]                              1                   -4.25
   2953 squad[70,29]                              1                       0
   2954 squad[70,30]                              1                       0
   2955 squad[70,31]                              1                       0
   2956 squad[70,32]                              1                       0
   2957 squad[70,33]                              1                       0
   2958 squad[70,34]                              1                       0
   2959 squad[70,35]                              1                       0
   2960 squad[70,36]                              1                   -5.03
   2961 squad[70,37]                              1                       0
   2962 squad[70,38]                              1                   -4.15
   3355 squad[1406,1]                             1                       0
   3356 squad[1406,2]                             1                       0
   3357 squad[1406,3]                             1                   -4.96
   3358 squad[1406,4]                             1                       0
   3359 squad[1406,5]                             1                       0
   3360 squad[1406,6]                             1                       0
   3361 squad[1406,7]                             1                       0
   3362 squad[1406,8]                             1                       0
   3363 squad[1406,9]                             1                   -4.21
   3364 squad[1406,10]                            1                       0
   3365 squad[1406,11]                            1                       0
   3366 squad[1406,12]                            1                       0
   3367 squad[1406,13]                            1                       0
   3368 squad[1406,14]                            1                       0
   3369 squad[1406,15]                            1                       0
   3370 squad[1406,16]                            1                       0
   3371 squad[1406,17]                            1                       0
   3372 squad[1406,18]                            1                   -4.01
   3907 squad[1175,37]                            1                   -4.32
   3908 squad[1175,38]                            1                       0
   3909 squad[1175,39]                            1                   -5.01
   3910 squad[1175,40]                            1                       0
   3911 squad[1175,41]                            1                       0
   3912 squad[1175,42]                            1                       0
   5468 squad[412,7]                              1                   -5.37
   5469 squad[412,8]                              1                       0
   5470 squad[412,9]                              1                       0
   5471 squad[412,10]                             1                   -4.45
   5472 squad[412,11]                             1                       0
   5473 squad[412,12]                             1                       0
   5474 squad[412,13]                             1                       0
   5475 squad[412,14]                             1                       0
   5476 squad[412,15]                             1                       0
   5477 squad[412,16]                             1                       0
   5478 squad[412,17]                             1                   -5.53
   6494 squad[1260,1]                             1                       0
   6495 squad[1260,2]                             1                       0
   6496 squad[1260,3]                             1                   -5.51
   6497 squad[1260,4]                             1                       0
   6498 squad[1260,5]                             1                       0
   6499 squad[1260,6]                             1                       0
   6500 squad[1260,7]                             1                       0
   6501 squad[1260,8]                             1                       0
   6502 squad[1260,9]                             1                   -4.74
   6503 squad[1260,10]                            1                       0
   6504 squad[1260,11]                            1                       0
   6505 squad[1260,12]                            1                       0
   6506 squad[1260,13]                            1                       0
   6507 squad[1260,14]                            1                       0
   6508 squad[1260,15]                            1                       0
   6509 squad[1260,16]                            1                       0
   6510 squad[1260,17]                            1                       0
   6511 squad[1260,18]                            1                   -4.72
   6512 squad[1260,19]                            1                       0
   6513 squad[1260,20]                            1                       0
   6514 squad[1260,21]                            1                       0
   6515 squad[1260,22]                            1                       0
   6516 squad[1260,23]                            1                       0
   6517 squad[1260,24]                            1                    -4.4
   6518 squad[1260,25]                            1                       0
   6519 squad[1260,26]                            1                       0
   6520 squad[1260,27]                            1                       0
   6521 squad[1260,28]                            1                   -4.32
   6522 squad[1260,29]                            1                       0
   6523 squad[1260,30]                            1                       0
   6524 squad[1260,31]                            1                       0
   6525 squad[1260,32]                            1                       0
   6526 squad[1260,33]                            1                       0
   6527 squad[1260,34]                            1                       0
   6528 squad[1260,35]                            1                       0
   6529 squad[1260,36]                            1                   -5.19
   6530 squad[1260,37]                            1                       0
   6531 squad[1260,38]                            1                   -3.92
   6532 squad[1260,39]                            1                       0
   6533 squad[1260,40]                            1                       0
   6534 squad[1260,41]                            1                       0
   6535 squad[1260,42]                            1                       0
   6911 squad[469,31]                             1                   -4.72
   6912 squad[469,32]                             1                       0
   6913 squad[469,33]                             1                       0
   6914 squad[469,34]                             1                       0
   6915 squad[469,35]                             1                       0
   6916 squad[469,36]                             1                       0
   6917 squad[469,37]                             1                   -4.59
   6918 squad[469,38]                             1                       0
   6919 squad[469,39]                             1                   -5.36
   6920 squad[469,40]                             1                       0
   6921 squad[469,41]                             1                       0
   6922 squad[469,42]                             1                       0
   6941 squad[387,18]                             1                       0
   6942 squad[387,19]                             1                   -4.23
   6943 squad[387,20]                             1                       0
   6944 squad[387,21]                             1                       0
   6945 squad[387,22]                             1                       0
   6946 squad[387,23]                             1                   -3.97
   6947 squad[387,24]                             1                       0
   6948 squad[387,25]                             1                       0
   6949 squad[387,26]                             1                       0
   6950 squad[387,27]                             1                       0
   6951 squad[387,28]                             1                   -3.71
   6952 squad[387,29]                             1                       0
   6953 squad[387,30]                             1                       0
   6954 squad[387,31]                             1                       0
   6955 squad[387,32]                             1                       0
   6956 squad[387,33]                             1                   -4.26
   6957 squad[387,34]                             1                       0
   6958 squad[387,35]                             1                       0
   7407 squad[1359,11]                            1                       0
   7408 squad[1359,12]                            1                       0
   7409 squad[1359,13]                            1                   -2.81
   7410 squad[1359,14]                            1                       0
   7411 squad[1359,15]                            1                   -4.62
   7412 squad[1359,16]                            1                       0
   7413 squad[1359,17]                            1                       0
   7414 squad[1359,18]                            1                       0
   7415 squad[1359,19]                            1                       0
   7416 squad[1359,20]                            1                       0
   7417 squad[1359,21]                            1                       0
   7418 squad[1359,22]                            1                       0
   7419 squad[1359,23]                            1                   -3.83
