Optimal - objective value -363.38000000
    861 squad[21,1]                               1                       0
    862 squad[21,2]                               1                   -6.13
    863 squad[21,3]                               1                       0
    864 squad[21,4]                               1                       0
    865 squad[21,5]                               1                       0
    866 squad[21,6]                               1                       0
    867 squad[21,7]                               1                       0
    868 squad[21,8]                               1                       0
    869 squad[21,9]                               1                       0
    870 squad[21,10]                              1                       0
    871 squad[21,11]                              1                       0
    872 squad[21,12]                              1                       0
    873 squad[21,13]                              1                       0
    874 squad[21,14]                              1                   -5.13
    875 squad[21,15]                              1                       0
    876 squad[21,16]                              1                       0
    877 squad[21,17]                              1                   -5.35
    878 squad[21,18]                              1                       0
    879 squad[21,19]                              1                       0
    880 squad[21,20]                              1                       0
    881 squad[21,21]                              1                       0
    882 squad[21,22]                              1                       0
    883 squad[21,23]                              1                       0
    884 squad[21,24]                              1                       0
    885 squad[21,25]                              1                       0
    886 squad[21,26]                              1                   -5.58
    887 squad[21,27]                              1                       0
    888 squad[21,28]                              1                       0
    889 squad[21,29]                              1                   -5.45
    890 squad[21,30]                              1                       0
    891 squad[21,31]                              1                       0
    892 squad[21,32]                              1                       0
    893 squad[21,33]                              1                       0
    894 squad[21,34]                              1                       0
    895 squad[21,35]                              1                       0
    896 squad[21,36]                              1                   -5.11
    897 squad[21,37]                              1                       0
    898 squad[21,38]                              1                       0
    899 squad[21,39]                              1                   -5.18
    900 squad[21,40]                              1                       0
    901 squad[21,41]                              1                       0
    902 squad[21,42]                              1                       0
   1162 squad[70,1]                               1                       0
   1163 squad[70,2]                               1                       0
   1164 squad[70,3]                               1                   -5.25
   1165 squad[70,4]                               1                       0
   1166 squad[70,5]                               1                       0
   1167 squad[70,6]                               1                       0
   1168 squad[70,7]                               1                       0
   1169 squad[70,8]                               1                       0
   1170 squad[70,9]                               1                    -4.9
   1171 squad[70,10]                              1                       0
   1172 squad[70,11]                              1                       0
   1173 squad[70,12]                              1                       0
   1174 squad[70,13]                              1                       0
   1175 squad[70,14]                              1                       0
   1176 squad[70,15]                              1                       0
   1177 squad[70,16]                              1                       0
   1178 squad[70,17]                              1                       0
   1179 squad[70,18]                              1                   -4.87
   1180 squad[70,19]                              1                       0
   1181 squad[70,20]                              1                       0
   1182 squad[70,21]                              1                       0
   1183 squad[70,22]                              1                       0
   1184 squad[70,23]                              1                       0
   1185 squad[70,24]                              1                   -4.28
   1186 squad[70,25]                              1                       0
   1187 squad[70,26]                              1                       0
   1188 squad[70,27]                              1                       0
   1189 squad[70,28]                              1                   -4.36
   1190 squad[70,29]                              1                       0
   1191 squad[70,30]                              1                       0
   1192 squad[70,31]                              1                       0
   1193 squad[70,32]                              1                       0
   1194 squad[70,33]                              1                       0
   1195 squad[70,34]                              1                       0
   1196 squad[70,35]                              1                       0
   1197 squad[70,36]                              1                   -5.13
   1198 squad[70,37]                              1                       0
   1199 squad[70,38]                              1                   -3.98
   1200 squad[70,39]                              1                       0
   1201 squad[70,40]                              1                       0
   1202 squad[70,41]                              1                       0
   1203 squad[70,42]                              1                       0
   1248 squad[1406,1]                             1                       0
   1249 squad[1406,2]                             1                       0
   1250 squad[1406,3]                             1                   -4.87
   1251 squad[1406,4]                             1                       0
   1252 squad[1406,5]                             1                       0
   1253 squad[1406,6]                             1                       0
   1254 squad[1406,7]                             1                       0
   1255 squad[1406,8]                             1                       0
   1256 squad[1406,9]                             1                   -4.15
   1257 squad[1406,10]                            1                       0
   1258 squad[1406,11]                            1                       0
   1259 squad[1406,12]                            1                       0
   1260 squad[1406,13]                            1                       0
   1261 squad[1406,14]                            1                       0
   1262 squad[1406,15]                            1                       0
   1263 squad[1406,16]                            1                       0
   1264 squad[1406,17]                            1                       0
   1265 squad[1406,18]                            1                   -4.11
   1266 squad[1406,19]                            1                       0
   1267 squad[1406,20]                            1                       0
   1268 squad[1406,21]                            1                       0
   1269 squad[1406,22]                            1                       0
   1270 squad[1406,23]                            1                       0
   1271 squad[1406,24]                            1                   -3.02
